第40表 死亡率（人口10万対），選択死因分類・保健所・市町村別,02_死亡総数,03_結核Se01,04_悪性新生物Se02,05_胃の悪性新生物（再掲）Se04,06_糖尿病Se14,07_心疾患（高血圧性を除く）Ｓｅ16,08_脳血管疾患Ｓｅ21,09_肺炎Ｓｅ26,10_老衰Ｓｅ31,11_不慮の事故Ｓｅ32,12_平成２５年交通事故（再掲）Ｓｅ33,13_自殺Ｓｅ34
剣淵町,1869.4362017804153,,593.500,59.347,,415.400,118.700,178.042,178.042,59.347,,
下川町,2132.9639889196674,,609.400,27.701,55.402,387.800,193.900,27.701,83.102,83.102,,27.701
美深町,1700.8196721311476,,450.800,102.459,,225.400,225.400,143.443,81.967,,,20.492
音威子府村,1195.6521739130435,,217.400,,,108.700,108.700,,217.391,,,108.696
中川町,1853.932584269663,,674.200,168.539,,280.900,168.500,112.360,56.180,,,56.180
共和町,1458.6709886547812,,567.300,97.245,16.207,178.300,81.000,129.660,81.037,64.830,16.207,
岩内町,1509.5729013254786,,449.200,66.274,0,250.400,176.700,139.912,51.546,51.546,14.728,14.728
泊村,2711.8644067796608,,734.500,169.492,112.994,565.000,282.500,282.486,225.989,,,
神恵内村,1333.3333333333335,,381.000,,,476.200,190.500,95.238,95.238,,,
島牧村,1823.8993710691823,,566.000,62.893,62.893,188.700,62.900,188.679,251.572,62.900,62.900,
寿都町,1773.7003058103974,,672.800,61.162,,305.800,214.100,122.324,214.067,61.162,61.162,
黒松内町,1818.181818181818,,470.200,31.348,62.696,250.800,219.400,156.740,156.740,31.348,,31.348
蘭越町,1743.4869739478959,,380.800,60.120,60.120,320.600,180.400,100.200,40.080,40.080,,60.120
ニセコ町,1386.5546218487393,,399.200,21.008,,147.100,147.100,126.050,42.017,63.025,,21.008
真狩村,1374.4075829383885,,426.500,47.393,,237.000,47.400,142.180,236.967,,,
留寿都村,1063.8297872340424,,638.300,106.383,,106.400,106.400,,53.191,,,
喜茂別町,1776.8595041322315,,619.800,82.645,41.322,371.900,124.000,123.967,206.612,41.322,,
京極町,1239.6694214876034,,385.700,,27.548,165.300,137.700,27.548,110.193,27.548,,
倶知安町,915.72660915726613,,258.800,26.543,19.907,112.800,46.400,92.900,92.900,19.907,,33.179
積丹町,2164.5021645021643,,606.100,43.290,43.290,303.000,216.500,43.290,259.740,,,
古平町,1777.1084337349398,30.120,451.800,60.241,,451.800,30.100,180.723,60.241,60.241,,60.241
仁木町,2212.6436781609195,,804.600,114.943,,373.600,114.900,172.414,201.149,,,
余市町,1408.7988136431043,4.943,365.800,34.602,19.773,276.800,54.400,177.954,74.147,24.716,4.943,24.716
赤井川村,1465.5172413793102,,603.400,86.207,,86.200,86.200,258.621,86.207,172.414,,
江差町,1391.5094339622642,,483.500,47.170,23.585,259.400,70.800,176.887,70.755,58.962,11.792,23.585
上ノ国町,1669.9410609037329,,451.900,98.232,19.646,314.300,235.800,196.464,19.646,39.293,,58.900
厚沢部町,1702.6378896882493,,407.700,,,455.600,167.900,47.962,71.942,71.942,,47.962
乙部町,1459.3301435406697,,550.200,71.770,47.847,263.200,95.700,119.617,47.847,23.923,,23.923
奥尻町,1850.5338078291813,,498.200,,,177.900,249.100,177.936,35.587,35.587,35.587,35.587
北斗市,1227.6595744680851,2.128,359.600,74.468,17.021,168.100,110.600,161.702,38.298,38.300,6.383,25.532
松前町,1822.7215980024969,,599.300,62.422,37.453,212.200,124.800,149.813,62.422,74.900,25.000,12.484
福島町,1965.8119658119658,,619.700,85.470,21.368,213.700,256.400,213.675,42.735,64.103,42.735,42.735
知内町,1554.6218487394958,,336.100,63.025,,231.100,210.100,84.034,42.017,84.034,,42.017
木古内町,2194.6169772256731,,517.600,82.816,,393.400,289.900,82.816,124.224,82.816,20.704,41.408
七飯町,1200.2815909890883,,309.800,28.159,10.560,172.500,88.000,147.835,56.318,31.679,,24.639
鹿部町,1451.24716553288,,476.200,45.351,45.351,181.400,90.700,158.730,68.027,68.027,22.676,22.676
森町,1578.0035863717874,5.977,490.100,47.818,17.932,322.800,125.500,125.523,47.818,35.864,5.977,41.841
八雲町,1567.5375208449138,,461.400,66.704,16.676,283.500,139.000,172.318,50.028,27.793,5.559,16.676
長万部町,1742.808798646362,,423.000,50.761,16.920,439.900,169.200,153.300,186.125,16.920,16.920,16.920
今金町,1683.6734693877552,,476.200,51.020,34.014,255.100,204.100,187.075,34.014,119.048,17.007,17.007
せたな町,2036.4050056882822,,443.700,56.883,11.377,511.900,216.200,238.908,79.636,34.130,,34.130
室蘭市,1326.2043876088633,1.102,372.600,36.380,27.560,243.600,127.900,122.368,23.151,25.400,1.100,19.843
登別市,1278.976818545164,1.998,399.700,51.958,17.986,231.800,121.900,109.900,25.979,29.976,5.995,25.979
伊達市,1202.5849957853329,,337.200,33.717,8.429,230.400,106.800,165.800,33.717,30.908,,19.668
豊浦町,1795.4545454545455,,386.400,45.455,,568.200,159.100,113.636,68.182,22.727,,22.727
壮瞥町,1887.4172185430464,,430.500,66.225,,397.400,231.800,231.788,33.113,132.450,,
洞爺湖町,1354.1666666666667,,416.700,41.667,31.250,281.300,135.400,156.250,31.250,52.083,20.833,20.833
苫小牧市,954.30884904569109,0.578,299.600,40.486,12.724,178.100,83.300,98.901,16.773,25.400,6.362,15.000
白老町,1647.5095785440615,,509.000,60.208,27.367,306.500,131.400,207.991,49.261,32.841,5.473,16.420
厚真町,1510.6382978723404,,404.300,63.830,,276.600,127.700,255.319,21.277,63.830,,21.277
安平町,1401.1976047904191,,419.200,71.856,,275.400,155.700,167.665,11.976,35.928,,11.976
むかわ町,1530.8370044052863,,363.400,77.093,22.026,242.300,187.200,132.159,77.093,44.053,22.026,22.026
浦河町,1243.523316062176,,414.500,88.823,22.206,162.800,111.000,148.038,22.206,37.000,7.402,37.010
様似町,1337.5796178343949,,191.100,21.231,21.231,360.900,106.200,148.620,84.926,84.926,21.231,21.231
えりも町,1389.4324853228964,,391.400,97.847,,195.700,137.000,176.125,78.278,97.847,58.708,58.708
日高町,1511.6279069767443,,403.100,38.760,,224.800,147.300,178.295,240.310,23.256,7.752,23.256
平取町,1431.261770244821,,244.800,94.162,18.832,320.200,244.800,150.659,37.665,75.330,,18.832
新冠町,1263.3451957295374,,391.500,17.794,,195.700,142.300,142.349,17.794,35.587,,71.174
新ひだか町,1280.2626179729175,,340.600,45.137,8.207,205.200,151.800,151.826,73.861,57.448,12.310,20.517
帯広市,926.12483589927206,1.790,279.900,35.207,11.338,143.800,82.900,79.365,22.079,29.240,5.967,31.030
音更町,952.69968763944667,,307.900,46.854,17.849,113.800,71.400,91.477,58.010,37.929,,15.618
士幌町,1453.9579967689822,,355.400,64.620,32.310,193.900,145.400,226.171,161.551,16.155,,16.155
