第64表 医師・歯科医師・薬剤師数および率（人口10万対），従業地による保健所・市町村別,03_総数,04_医師医療施設の従事者,05_医療施設以外の従事者,06_その他,07_総数,08_歯科医師医療施設の従事者,09_医療施設以外の従事者,10_その他,11_総数,12_薬剤師薬局の従事者,13_病院・診療所の従事者,14_大学の従事者,15_医薬品関係従事者,16_衛生行政・保健衛生従事者,17_その他,18_平成２６年末現在率(人口１０万対）医師,19_歯科医師,20_薬剤師,24_人口,25_医師,26_歯科医師,27_薬剤師
北見市,223,216,7,0,75,74,1,0,214,140,46,1,17,3,7,183,61.5,175.6,121880,183,61.5,175.6
美幌町,22,21,1,0,16,16,0,0,19,13,6,0,0,0,0,107.3,78,92.6,20510,107.3,78,92.6
津別町,4,4,0,0,3,3,0,0,5,3,2,0,0,0,0,78.1,58.6,97.7,5120,78.1,58.6,97.7
訓子府町,1,1,0,0,3,3,0,0,2,2,0,0,0,0,0,19.5,58.5,39,5130,19.5,58.5,39
置戸町,3,3,0,0,1,1,0,0,3,0,3,0,0,0,0,94.9,31.6,94.9,3160,94.9,31.6,94.9
紋別市,34,32,2,0,14,13,0,1,25,14,8,0,1,2,0,147.4,60.7,108.4,23060,147.4,60.7,108.4
佐呂間町,1,1,0,0,4,4,0,0,2,1,0,0,0,0,1,18.7,74.6,37.3,5360,18.7,74.6,37.3
遠軽町,51,50,1,0,11,11,0,0,29,5,21,0,1,1,1,240.2,51.8,136.6,21230,240.2,51.8,136.6
湧別町,2,2,0,0,5,5,0,0,6,4,1,0,0,0,1,21.8,54.6,65.5,9160,21.8,54.6,65.5
滝上町,1,1,0,0,1,1,0,0,4,3,1,0,0,0,0,36.1,36.1,144.4,2770,36.1,36.1,144.4
興部町,3,3,0,0,2,2,0,0,2,1,1,0,0,0,0,75.6,50.4,50.4,3970,75.6,50.4,50.4
西興部村,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,87.7,87.7,－,1140,87.7,87.7,－
雄武町,3,3,0,0,2,2,0,0,6,5,1,0,0,0,0,67.4,44.9,134.8,4450,67.4,44.9,134.8
稚内市,47,44,2,1,19,17,1,1,60,43,8,0,4,2,3,127.2,51.4,162.3,36960,127.2,51.4,162.3
猿払村,2,2,0,0,1,1,0,0,1,0,1,0,0,0,0,76.3,38.2,38.2,2620,76.3,38.2,38.2
浜頓別町,2,2,0,0,2,2,0,0,6,3,1,0,0,1,1,52.9,52.9,158.7,3780,52.9,52.9,158.7
中頓別町,2,2,0,0,1,1,0,0,2,1,1,0,0,0,0,108.7,54.3,108.7,1840,108.7,54.3,108.7
枝幸町,4,4,0,0,5,5,0,0,6,4,2,0,0,0,0,47.1,58.8,70.6,8500,47.1,58.8,70.6
豊富町,3,3,0,0,2,2,0,0,3,2,1,0,0,0,0,73.3,48.9,73.3,4090,73.3,48.9,73.3
礼文町,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,72.7,36.4,－,2750,72.7,36.4,－
利尻町,3,3,0,0,2,2,0,0,5,4,1,0,0,0,0,127.7,85.1,212.8,2350,127.7,85.1,212.8
利尻富士町,2,2,0,0,1,1,0,0,3,3,0,0,0,0,0,71.2,35.6,106.8,2810,71.2,35.6,106.8
幌延町,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,39.5,79.1,39.5,2530,39.5,79.1,39.5
留萌市,50,48,2,0,17,17,0,0,55,32,15,0,1,5,2,222.9,75.8,245.2,22430,222.9,75.8,245.2
増毛町,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,21.6,43.1,43.1,4640,21.6,43.1,43.1
小平町,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,29.6,59.2,－,3380,29.6,59.2,－
苫前町,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,58.8,29.4,29.4,3400,58.8,29.4,29.4
羽幌町,12,12,0,0,4,4,0,0,13,11,2,0,0,0,0,162.6,54.2,176.2,7380,162.6,54.2,176.2
初山別村,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,80.6,80.6,－,1240,80.6,80.6,－
遠別町,2,2,0,0,1,1,0,0,3,2,1,0,0,0,0,70.4,35.2,105.6,2840,70.4,35.2,105.6
天塩町,1,1,0,0,2,2,0,0,5,2,2,0,0,1,0,29.3,58.7,146.6,3410,29.3,58.7,146.6
鷹栖町,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,28.2,28.2,28.2,7080,28.2,28.2,28.2
東神楽町,7,6,1,0,3,3,0,0,5,3,2,0,0,0,0,70.5,30.2,50.4,9930,70.5,30.2,50.4
当麻町,3,2,1,0,4,4,0,0,3,3,0,0,0,0,0,44.6,59.4,44.6,6730,44.6,59.4,44.6
比布町,2,2,0,0,3,3,0,0,3,3,0,0,0,0,0,52.4,78.5,78.5,3820,52.4,78.5,78.5
愛別町,2,1,0,1,1,1,0,0,2,1,1,0,0,0,0,66.4,33.2,66.4,3010,66.4,33.2,66.4
上川町,3,3,0,0,3,3,0,0,6,5,1,0,0,0,0,71.6,71.6,143.2,4190,71.6,71.6,143.2
東川町,3,2,1,0,3,3,0,0,3,3,0,0,0,0,0,38.3,38.3,38.3,7840,38.3,38.3,38.3
美瑛町,8,7,1,0,5,5,0,0,14,9,3,0,0,0,2,75.7,47.3,132.5,10570,75.7,47.3,132.5
幌加内町,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,126.6,－,126.6,1580,126.6,－,126.6
